evaluation_index,first_seen_stage,portfolio_size,portfolio_param_ids,priority_1_param_id,priority_2_param_id,priority_3_param_id,priority_4_param_id,priority_5_param_id,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,duplicate_pair_family_count,duplicate_long_symbol_count,duplicate_short_symbol_count,duplicate_long_param_count,duplicate_short_param_count,diversity_penalty,penalized_expectancy
97,forward_step_5,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,76,49,0.5657894736842105,1.8921371402972527,143.8024226625912,0.02876048453251824,5143.802422662591,5269.509550531449,160.43735543266484,3.044635442713718,True,7.927767850399345,False,4,16,78,24,0,2,3,18,53,23,34,15,117.28020054074356,26.522222121846738,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,22,0,0.5510204081632653,2.9347433196447015,12.672528751986837,-9.016175165502462,1.7249719129681753,14.064625850340136,7.0,17.883917745221282,-10.000000000000002,10,6,1.0,0.010208231522455868,0.6293956723865811,0.404226101112136,0.3352858401121796,33,7,3,0.21212121212121213,1.4815709696358148,-0.9840784946842929,-211.2213869136039,0.0,2.0,3.0,3.0,0.0,2.0,1.1,0.7921371402972526
135,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,82,53,0.5609756097560976,1.8053305988174633,148.03710910303198,0.029607421820606397,5148.037109103032,5286.04120540613,170.00870295991717,3.216181947012562,True,7.641211061980874,False,4,16,85,28,0,2,4,20,58,24,37,16,132.42133636675698,15.61577273627469,2023-06-16 00:00,2026-03-31 08:00,34,1,10,29,24,0,0.5471698113207547,2.793153001943996,12.60983177213755,-9.068667178706553,1.6801675216150944,12.69496855345912,7.0,17.73473034444742,-10.000000000000002,13,8,1.0,0.010506050154765578,0.6536509590808888,0.43990579114806816,0.32666218291923466,33,7,3,0.21212121212121213,1.8065097331037672,-0.816052934470779,-206.98670047316313,0.0,2.0,3.0,3.0,0.0,2.0,1.1,0.7053305988174632
143,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,80,52,0.5625,1.769304482179416,141.54435857435328,0.028308871714870655,5141.544358574353,5274.858567266911,168.04443625636486,3.1857619330149087,True,8.054239919390142,False,4,13,59,26,0,1,3,17,57,23,37,15,114.77344836375077,26.770910210600107,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,24,0,0.5384615384615384,2.722006895660596,12.853579007693043,-9.098160568377258,1.6482279096901595,13.304487179487179,8.0,17.883917745221282,-10.000000000000002,10,8,1.0,0.010049361206558416,0.5866879158611747,0.35461334756564006,0.31544608222021175,33,8,2,0.24242424242424243,1.5657121696357024,-1.2410269424076414,-213.47945100184182,0.0,2.0,3.0,3.0,0.0,3.0,1.15,0.619304482179416
95,forward_step_5,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,77,50,0.5584415584415584,1.739293875528193,133.92562841567087,0.026785125683134174,5133.925628415671,5259.632756284529,160.43735543266484,3.050352807255688,True,8.512427656158987,False,4,18,75,24,0,2,3,17,54,23,35,15,107.50398055585754,26.421647859812254,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,23,0,0.54,2.6785125683133977,12.67709192802682,-9.058950158306702,1.6427735341978482,13.7,7.5,17.883917745221282,-10.000000000000002,9,6,1.0,0.00951300054854154,0.5752389943538975,0.37335099300273916,0.31186558243077805,33,7,3,0.21212121212121213,1.4844445228456182,-0.9859508485937307,-221.09818116052423,0.0,2.0,3.0,3.0,1.0,2.0,1.1500000000000001,0.5892938755281929
124,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,80,52,0.55,1.595939635801551,127.67517086412408,0.025535034172824815,5127.675170864124,5267.293741307344,174.34879800702674,3.3100261077095983,True,8.85984947586714,False,4,18,82,27,0,3,2,22,56,24,36,16,113.36875796638229,14.306412897741962,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,24,0,0.5384615384615384,2.4552917473870073,12.437393468990601,-9.190493594483856,1.5788371137321857,12.945512820512821,7.0,17.73473034444742,-10.000000000000002,10,8,1.0,0.009072585054235915,0.5673078524577971,0.3754086978251065,0.2740940632795725,33,7,3,0.21212121212121213,1.439070296329814,-0.8502289660464846,-227.34863871207102,0.0,2.0,3.0,3.0,0.0,1.0,1.05,0.5459396358015509
188,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,81,53,0.5555555555555556,1.6399245750484692,132.833890578926,0.0265667781157852,5132.833890578926,5260.977465580476,162.87380256535653,3.0958848166703876,True,8.582389766839322,False,4,19,79,28,0,1,4,23,56,25,36,17,126.42451856532996,6.409372013594888,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,25,0,0.5283018867924528,2.506299822243867,12.843177823667885,-9.071003539351034,1.5857516866912313,12.682389937106917,7.0,17.883917745221282,-10.000000000000002,11,8,1.0,0.009436100073154652,0.5729147084068386,0.38827359358153385,0.3047949336598104,33,7,3,0.21212121212121213,1.363108367273047,-0.8493817073291887,-222.1899189972691,0.0,2.0,3.0,3.0,0.0,2.0,1.1,0.5399245750484691
96,forward_step_5,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,baseline,5,10,81,53,0.5555555555555556,1.6209463380004825,131.29665337803908,0.026259330675607817,5131.296653378039,5259.396700423197,162.83027460896483,3.0959876937189907,True,8.682873430989616,False,4,20,75,28,0,2,3,22,56,25,36,17,124.88728136444401,6.409372013594888,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,25,0,0.5283018867924528,2.4772953467554526,12.844732393539042,-9.134234145642168,1.574965131327092,12.688679245283021,7.0,17.883917745221282,-10.000000000000002,11,8,1.0,0.009327801450721651,0.5672130860523265,0.38427129551179195,0.3012867741575815,33,7,3,0.21212121212121213,1.363537082611388,-0.8496340036910355,-223.72715619815602,0.0,2.0,3.0,3.0,0.0,2.0,1.1,0.5209463380004824
104,forward_step_5,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,baseline,5,10,81,53,0.5555555555555556,1.6209463380004825,131.29665337803908,0.026259330675607817,5131.296653378039,5259.396700423197,162.83027460896483,3.0959876937189907,True,8.682873430989616,False,4,21,75,28,0,3,3,21,56,25,36,17,124.88728136444401,6.409372013594888,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,25,0,0.5283018867924528,2.4772953467554526,12.844732393539042,-9.134234145642168,1.574965131327092,12.688679245283021,7.0,17.883917745221282,-10.000000000000002,11,8,1.0,0.009327801450721651,0.5672130860523265,0.38427129551179195,0.3012867741575815,33,7,3,0.21212121212121213,1.363537082611388,-0.8496340036910355,-223.72715619815602,0.0,2.0,3.0,3.0,1.0,1.0,1.1,0.5209463380004824
179,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,81,53,0.5555555555555556,1.6204089558228072,131.25312542164738,0.026250625084329477,5131.253125421647,5259.396700423197,162.87380256535653,3.0968153163318313,True,8.685752964218594,False,4,18,77,28,0,1,3,25,56,25,36,17,124.8437534080516,6.409372013594888,2023-06-16 00:00,2026-03-31 08:00,34,1,10,28,25,0,0.5283018867924528,2.4764740645593695,12.843177823667885,-9.134234145642168,1.574774516741574,12.682389937106917,7.0,17.883917745221282,-10.000000000000002,11,8,1.0,0.009324734595650197,0.5666701063406163,0.38267160390347865,0.30110722284515556,33,7,3,0.21212121212121213,1.363537082611388,-0.8496411498227108,-223.77068415454772,0.0,2.0,3.0,3.0,0.0,2.0,1.1,0.5204089558228071
176,swap_round_1,5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,baseline,5,10,78,51,0.5512820512820513,1.664251364778815,129.81160645274758,0.025962321290549515,5129.811606452748,5269.757362450338,158.52387387364615,3.008181648043384,True,8.782205646680824,False,4,18,80,26,0,1,3,21,55,23,36,15,103.26535242712436,26.546254025622062,2023-06-16 00:00,2026-03-31 08:00,34,1,10,27,24,0,0.5294117647058824,2.5453256167205196,12.681706971204958,-8.858103407074475,1.6106066600228872,14.013071895424837,8.0,17.883917745221282,-10.000000000000002,10,8,1.0,0.009223159865866304,0.5340708692300743,0.32114898426316707,0.30660249097209064,33,7,4,0.21212121212121213,1.4814990143301232,-0.9840316081740741,-225.21220312344752,0.0,2.0,3.0,3.0,1.0,2.0,1.1500000000000001,0.514251364778815
