combined_rank,param_id,long_param_id,short_param_id,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,pair_family,long_source_symbol,long_side,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,long_shortlist_rationale,short_source_symbol,short_side,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,short_shortlist_rationale
1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_061_DOGE_USDT,1,1,1,1,primary,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_062_DOGE_USDT,1,2,1,2,primary,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
3,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_070_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_070_DOGE_USDT,1,3,1,3,primary,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_076_ETH_USDT,1,4,1,4,primary,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_075_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_075_DOGE_USDT,1,5,1,5,primary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
6,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_061_DOGE_USDT,2,1,2,1,secondary,primary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
7,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_062_DOGE_USDT,2,2,2,2,secondary,secondary,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,Closest clean alternate to the primary short candidate with a very similar edge profile.
8,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_070_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_070_DOGE_USDT,2,3,2,3,secondary,throughput_variant,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
9,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_076_ETH_USDT,2,4,2,4,secondary,alternate_base,AVAX/USDT + ETH/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,False,disabled,20,0.0,Short candidate with a relatively comfortable consistency profile under Maven rules.
10,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_075_DOGE_USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_075_DOGE_USDT,2,5,2,5,secondary,reserve,AVAX/USDT + DOGE/USDT,AVAX/USDT,long,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,Very close to the leader with slightly more trades and nearly identical risk profile.,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,False,disabled,20,0.0,Short candidate with especially strong trailing-drawdown control for the short side.
